wt, s, d, c
2.094375759724287800e+00,0.000000000000000000e+00,6.666605097039282057e-01,6.669745148035914895e-01
2.094689750388713190e+00,1.000000000000000000e+00,6.667604560365841815e-01,6.619771981707955888e-01
2.136136518092868641e+00,1.000000000000000000e+00,6.799533719471799742e-01,2.331402641004842735e-03
2.179781220448002266e+00,1.000000000000000000e+00,6.938459121863679302e-01,6.922956093183927351e-01
2.180095211112428100e+00,0.000000000000000000e+00,6.939458585190241280e-01,6.972929259512028466e-01
2.199248641642378654e+00,0.000000000000000000e+00,7.000425848110418681e-01,9.978707594479132581e-01
2.217460100179053040e+00,0.000000000000000000e+00,7.058394721050914589e-01,7.080263947454312756e-01
2.217774090843478429e+00,1.000000000000000000e+00,7.059394184377474346e-01,7.030290781126282695e-01
2.262046774527462834e+00,1.000000000000000000e+00,7.200318513422475641e-01,1.592567112375320448e-03
2.307889411533574631e+00,1.000000000000000000e+00,7.346240159100277944e-01,7.312007955013868354e-01
2.308203402198000020e+00,0.000000000000000000e+00,7.347239622426837702e-01,7.361981121341898415e-01
2.324844907412547457e+00,0.000000000000000000e+00,7.400211178734533712e-01,9.989441063273361010e-01
2.340544440633818279e+00,0.000000000000000000e+00,7.450184345062547120e-01,7.490782746872639564e-01
2.340858431298244113e+00,1.000000000000000000e+00,7.451183808389109098e-01,7.440809580544609503e-01
2.387643040297631636e+00,1.000000000000000000e+00,7.600103844046590673e-01,5.192202329524775450e-04
2.436311593283571941e+00,1.000000000000000000e+00,7.755020659663435234e-01,7.751032983171697310e-01
2.436625583947997775e+00,0.000000000000000000e+00,7.756020122989997212e-01,7.801006149499798425e-01
2.450441173182716259e+00,0.000000000000000000e+00,7.799996509358648744e-01,9.999825467932410561e-01
2.463942771753009353e+00,0.000000000000000000e+00,7.842973432400741629e-01,7.851328379962936310e-01
2.464256762417434743e+00,1.000000000000000000e+00,7.843972895727301387e-01,7.801355213634977304e-01
2.513239306067800438e+00,1.000000000000000000e+00,7.999889174670706815e-01,5.541266464703653583e-04
2.564419784369144306e+00,1.000000000000000000e+00,8.162801696900033877e-01,8.140084845001638314e-01
2.564733775033569696e+00,0.000000000000000000e+00,8.163801160226593634e-01,8.190058011329668375e-01
2.576037438952885061e+00,0.000000000000000000e+00,8.199781839982764886e-01,9.989091999138182132e-01
2.587027112207774593e+00,0.000000000000000000e+00,8.234763056412374160e-01,8.261847179381334172e-01
2.587341102872199983e+00,1.000000000000000000e+00,8.235762519738933918e-01,8.211874013053304111e-01
2.638835571837969241e+00,1.000000000000000000e+00,8.399674505294821847e-01,1.627473525893208262e-03
2.692527975454716227e+00,1.000000000000000000e+00,8.570582734136630298e-01,8.529136706831508263e-01
2.692841966119142061e+00,0.000000000000000000e+00,8.571582197463192276e-01,8.579109873159609378e-01
2.701633704723053864e+00,0.000000000000000000e+00,8.599567170606879918e-01,9.978358530343953703e-01
2.710111452662540277e+00,0.000000000000000000e+00,8.626552680424007802e-01,8.672365978799589925e-01
2.710425443326965667e+00,1.000000000000000000e+00,8.627552143750568669e-01,8.622392812471630918e-01
2.764745828272563433e+00,1.000000000000000000e+00,8.800459299245497746e-01,2.296496227486954922e-03
2.820950157204713982e+00,1.000000000000000000e+00,8.979363234699789809e-01,8.968161734989408274e-01
2.821264147869139371e+00,0.000000000000000000e+00,8.980362698026349566e-01,9.018134901317438334e-01
2.827543961157648056e+00,0.000000000000000000e+00,9.000351964557555817e-01,9.982401772122244665e-01
2.833509783781730906e+00,0.000000000000000000e+00,9.019341767762201201e-01,9.032911611889957726e-01
2.833823774446156296e+00,1.000000000000000000e+00,9.020341231088760958e-01,8.982938445561998719e-01
2.890342094042732235e+00,1.000000000000000000e+00,9.200244629869612778e-01,1.223149348064112019e-03
2.949058348290286347e+00,1.000000000000000000e+00,9.387144271936388451e-01,9.357213596819349277e-01
2.949372338954711736e+00,0.000000000000000000e+00,9.388143735262948208e-01,9.407186763147379338e-01
2.953140226927816414e+00,0.000000000000000000e+00,9.400137295181670849e-01,9.993135240916544149e-01
2.956594124236496146e+00,0.000000000000000000e+00,9.411131391773833732e-01,9.443430411308355588e-01
2.956908114900921536e+00,1.000000000000000000e+00,9.412130855100393489e-01,9.393457244980325527e-01
3.015938359812901037e+00,1.000000000000000000e+00,9.600029960493728920e-01,1.498024686412691153e-04
3.077166539375858267e+00,1.000000000000000000e+00,9.794925309172984873e-01,9.746265458649219227e-01
3.077480530040283657e+00,0.000000000000000000e+00,9.795924772499544630e-01,9.796238624977249287e-01
3.078736492697985216e+00,0.000000000000000000e+00,9.799922625805785881e-01,9.996131290289227422e-01
3.079992455355687220e+00,0.000000000000000000e+00,9.803920479112028241e-01,9.803976044398652334e-01
3.080306446020112610e+00,1.000000000000000000e+00,9.804919942438587999e-01,9.754002878070622273e-01
3.140592653589793226e+00,1.000000000000000000e+00,9.996816901138162459e-01,1.591549430919059205e-02
