I_out, gain, alpha, beta
9.654461060433926489e-01,1.659048914985114254e-01,1.307149807924178564e+00,3.141592653589793116e+00
9.680390030087975273e-01,1.596640468242952471e-01,1.317290058649975393e+00,3.141592653589793116e+00
9.705323625217747718e-01,1.534067848854690774e-01,1.327430309375772222e+00,3.141592653589793116e+00
9.729259282056150759e-01,1.471337490775062318e-01,1.337570560101569050e+00,3.141592653589793116e+00
9.752194539447903709e-01,1.408455844178093386e-01,1.347710810827365879e+00,3.141592653589793116e+00
9.774127039102603609e-01,1.345429374793870037e-01,1.357851061553162708e+00,3.141592653589793116e+00
9.795054525837211257e-01,1.282264563243709077e-01,1.367991312278959537e+00,3.141592653589793116e+00
9.814974847807936831e-01,1.218967904373793043e-01,1.378131563004756588e+00,3.141592653589793116e+00
9.833885956731506228e-01,1.155545906587351762e-01,1.388271813730553417e+00,3.141592653589793116e+00
9.851785908095765931e-01,1.092005091175435177e-01,1.398412064456350246e+00,3.141592653589793116e+00
9.868672861359631954e-01,1.028351991646374725e-01,1.408552315182147074e+00,3.141592653589793116e+00
9.884545080142335127e-01,9.645931530539816889e-02,1.418692565907943903e+00,3.141592653589793116e+00
9.899400932401968278e-01,9.007351313245601232e-02,1.428832816633740732e+00,3.141592653589793116e+00
9.913238890603294218e-01,8.367844925828017699e-02,1.438973067359537561e+00,3.141592653589793116e+00
9.926057531874814543e-01,7.727478124766315459e-02,1.449113318085334390e+00,3.141592653589793116e+00
9.937855538155075941e-01,7.086316755010749202e-02,1.459253568811131219e+00,3.141592653589793116e+00
9.948631696328196217e-01,6.444426743212149089e-02,1.469393819536928047e+00,3.141592653589793116e+00
9.958384898348603409e-01,5.801874090943087703e-02,1.479534070262724876e+00,3.141592653589793116e+00
9.967114141354966872e-01,5.158724867911343437e-02,1.489674320988521927e+00,3.141592653589793116e+00
9.974818527773317012e-01,4.515045205166406950e-02,1.499814571714318756e+00,3.141592653589793116e+00
9.981497265409337016e-01,3.870901288299559428e-02,1.509954822440115585e+00,3.141592653589793116e+00
9.987149667529819919e-01,3.226359350638467044e-02,1.520095073165912414e+00,3.141592653589793116e+00
9.991775152933277671e-01,2.581485666436811321e-02,1.530235323891709243e+00,3.141592653589793116e+00
9.995373246009710000e-01,1.936346544059712807e-02,1.540375574617506071e+00,3.141592653589793116e+00
9.997943576789498632e-01,1.291008319165655970e-02,1.550515825343302900e+00,3.141592653589793116e+00
9.999485880981456853e-01,6.455373478856027240e-03,1.560656076069099729e+00,3.141592653589793116e+00
1.000000000000000000e+00,3.898171832519375494e-17,1.570796326794896558e+00,3.141592653589793116e+00
