wt, i_1, i_1_fundamental, i_1_harmonic
4.445484869146559603e+00,-8.597394267501907994e-02,-1.722573222106438817e-01,8.628337953562480178e-02
4.462986778080207273e+00,-9.186982543220702235e-02,-1.757333269946304566e-01,8.386350156242343423e-02
4.480488687013854943e+00,-9.788446765946136330e-02,-1.791555030794443892e-01,8.127103541998302594e-02
4.497990595947502612e+00,-1.040096911033667748e-01,-1.825228022217608714e-01,7.851311111839409662e-02
4.515492504881150282e+00,-1.102372836384863941e-01,-1.858341929875561849e-01,7.559690934906979076e-02
4.532994413814798840e+00,-1.165590017828099650e-01,-1.890886610680455326e-01,7.252965928523556760e-02
4.550496322748446509e+00,-1.229665732228054364e-01,-1.922852095903744007e-01,6.931863636756896430e-02
4.567998231682094179e+00,-1.294516993473044664e-01,-1.954228594229703575e-01,6.597116007566589113e-02
4.585500140615741849e+00,-1.360060577894411371e-01,-1.985006494754595896e-01,6.249459168601845249e-02
4.603002049549390406e+00,-1.426213049758680018e-01,-2.015176369930575806e-01,5.889633201718957878e-02
4.620503958483038076e+00,-1.492890786824660199e-01,-2.044728978453427271e-01,5.518381916287670719e-02
4.638005867416685746e+00,-1.560010005957719603e-01,-2.073655268093270720e-01,5.136452621355511172e-02
4.655507776350333415e+00,-1.627486788793289507e-01,-2.101946378467332011e-01,4.744595896740425034e-02
4.673009685283981085e+00,-1.695237107441824875e-01,-2.129593643753962262e-01,4.343565363121373868e-02
4.690511594217629643e+00,-1.763176850227300974e-01,-2.156588595347056769e-01,3.934117451197557958e-02
4.708013503151277312e+00,-1.831221847451366680e-01,-2.182922964450059178e-01,3.517011169986924979e-02
4.725515412084924982e+00,-1.899287897175300499e-01,-2.208588684608778496e-01,3.093007874334779972e-02
4.743017321018572652e+00,-1.967290791011805373e-01,-2.233577894182209866e-01,2.662871031704044933e-02
4.760519229952221210e+00,-2.035146339918806890e-01,-2.257882938750627178e-01,2.227365988318202872e-02
4.778021138885868879e+00,-2.102770399987292649e-01,-2.281496373460200067e-01,1.787259734729074179e-02
4.795523047819516549e+00,-2.170078898215380692e-01,-2.304410965303421710e-01,1.343320670880410184e-02
4.813024956753164219e+00,-2.236987858260614248e-01,-2.326619695334642690e-01,8.963183707402844203e-03
4.830526865686812776e+00,-2.303413426162678190e-01,-2.348115760820038145e-01,4.470233465735995448e-03
4.848028774620460446e+00,-2.369271896028612989e-01,-2.368892577321342896e-01,-3.793187072700932028e-05
4.865530683554108116e+00,-2.434479735672702427e-01,-2.388943780712729503e-01,-4.553595495997292408e-03
4.883032592487755785e+00,-2.498953612203104191e-01,-2.408263229130194194e-01,-9.069038307290999690e-03
4.900534501421403455e+00,-2.562610417547498964e-01,-2.426845004852864751e-01,-1.357654126946342132e-02
4.918036410355052013e+00,-2.625367293909800503e-01,-2.444683416115653596e-01,-1.806838777941469076e-02
4.935538319288699682e+00,-2.687141659150301676e-01,-2.461772998852692629e-01,-2.253686602976090469e-02
