I_out, gain, alpha, beta
8.885636112220269833e-01,2.920515036766119787e-01,3.482961234430358433e-01,1.000000000000000000e+00
8.931697235495154041e-01,2.863004787832093556e-01,3.515238654974393584e-01,1.000000000000000000e+00
8.976839967686710553e-01,2.805200153855746392e-01,3.547516075518428180e-01,1.000000000000000000e+00
9.021059667047505171e-01,2.747107078529414936e-01,3.579793496062463332e-01,1.000000000000000000e+00
9.064351786739850425e-01,2.688731535204074707e-01,3.612070916606497928e-01,1.000000000000000000e+00
9.106711875303328263e-01,2.630079526275132529e-01,3.644348337150533079e-01,1.000000000000000000e+00
9.148135577112508354e-01,2.571157082565242447e-01,3.676625757694567675e-01,1.000000000000000000e+00
9.188618632824807619e-01,2.511970262704190660e-01,3.708903178238602827e-01,1.000000000000000000e+00
9.228156879818449898e-01,2.452525152505924122e-01,3.741180598782637423e-01,1.000000000000000000e+00
9.266746252620489122e-01,2.392827864342785549e-01,3.773458019326672575e-01,1.000000000000000000e+00
9.304382783324829376e-01,2.332884536517015051e-01,3.805735439870707726e-01,1.000000000000000000e+00
9.341062602000227422e-01,2.272701332629586679e-01,3.838012860414742322e-01,1.000000000000000000e+00
9.376781937088205510e-01,2.212284440946443442e-01,3.870290280958777474e-01,1.000000000000000000e+00
9.411537115790865604e-01,2.151640073762196570e-01,3.902567701502812070e-01,1.000000000000000000e+00
9.445324564448532856e-01,2.090774466761353145e-01,3.934845122046847221e-01,1.000000000000000000e+00
9.478140808907221659e-01,2.029693878377140381e-01,3.967122542590881817e-01,1.000000000000000000e+00
9.509982474875851022e-01,1.968404589147988715e-01,3.999399963134916969e-01,1.000000000000000000e+00
9.540846288273210352e-01,1.906912901071742827e-01,4.031677383678951565e-01,1.000000000000000000e+00
9.570729075564609056e-01,1.845225136957667766e-01,4.063954804222986716e-01,1.000000000000000000e+00
9.599627764088193294e-01,1.783347639776311500e-01,4.096232224767021313e-01,1.000000000000000000e+00
9.627539382370884358e-01,1.721286772007298849e-01,4.128509645311056464e-01,1.000000000000000000e+00
9.654461060433926489e-01,1.659048914985114254e-01,4.160787065855091060e-01,1.000000000000000000e+00
9.680390030087975273e-01,1.596640468242952471e-01,4.193064486399126212e-01,1.000000000000000000e+00
9.705323625217747718e-01,1.534067848854690774e-01,4.225341906943161363e-01,1.000000000000000000e+00
9.729259282056150759e-01,1.471337490775062318e-01,4.257619327487195959e-01,1.000000000000000000e+00
9.752194539447903709e-01,1.408455844178093386e-01,4.289896748031231111e-01,1.000000000000000000e+00
9.774127039102603609e-01,1.345429374793870037e-01,4.322174168575265707e-01,1.000000000000000000e+00
9.795054525837211257e-01,1.282264563243709077e-01,4.354451589119300858e-01,1.000000000000000000e+00
9.814974847807936831e-01,1.218967904373793043e-01,4.386729009663336565e-01,1.000000000000000000e+00
9.833885956731506228e-01,1.155545906587351762e-01,4.419006430207371161e-01,1.000000000000000000e+00
9.851785908095765931e-01,1.092005091175435177e-01,4.451283850751406312e-01,1.000000000000000000e+00
9.868672861359631954e-01,1.028351991646374725e-01,4.483561271295440909e-01,1.000000000000000000e+00
9.884545080142335127e-01,9.645931530539816889e-02,4.515838691839476060e-01,1.000000000000000000e+00
9.899400932401968278e-01,9.007351313245601232e-02,4.548116112383510656e-01,1.000000000000000000e+00
9.913238890603294218e-01,8.367844925828017699e-02,4.580393532927545808e-01,1.000000000000000000e+00
9.926057531874814543e-01,7.727478124766315459e-02,4.612670953471580404e-01,1.000000000000000000e+00
9.937855538155075941e-01,7.086316755010749202e-02,4.644948374015615555e-01,1.000000000000000000e+00
9.948631696328196217e-01,6.444426743212149089e-02,4.677225794559650152e-01,1.000000000000000000e+00
9.958384898348603409e-01,5.801874090943087703e-02,4.709503215103685303e-01,1.000000000000000000e+00
9.967114141354966872e-01,5.158724867911343437e-02,4.741780635647721009e-01,1.000000000000000000e+00
9.974818527773317012e-01,4.515045205166406950e-02,4.774058056191755606e-01,1.000000000000000000e+00
9.981497265409337016e-01,3.870901288299559428e-02,4.806335476735790757e-01,1.000000000000000000e+00
9.987149667529819919e-01,3.226359350638467044e-02,4.838612897279825353e-01,1.000000000000000000e+00
9.991775152933277671e-01,2.581485666436811321e-02,4.870890317823860505e-01,1.000000000000000000e+00
9.995373246009710000e-01,1.936346544059712807e-02,4.903167738367895101e-01,1.000000000000000000e+00
9.997943576789498632e-01,1.291008319165655970e-02,4.935445158911930252e-01,1.000000000000000000e+00
9.999485880981456853e-01,6.455373478856027240e-03,4.967722579455964849e-01,1.000000000000000000e+00
1.000000000000000000e+00,3.898171832519375494e-17,5.000000000000000000e-01,1.000000000000000000e+00
