wt, s1, s2, s3, d1, d2, d3, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.330127018922193538e-01,4.330127018922192428e-01,1.000000000000000000e+00
9.300044259051692963e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,4.643321956999897637e-02,-4.543580797113720982e-01,4.079248601413728581e-01,4.079407940794079757e-01
9.362882395937177638e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.674604331494030401e-02,-4.544891377744604832e-01,4.077430944595200613e-01,4.039403940394039605e-01
1.451560962054689874e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.232344303337094604e-02,-4.646205756565539580e-01,3.922971326231826650e-01,7.590759075907582698e-02
1.457844775743238341e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.263431518152126121e-02,-4.647365691416188160e-01,3.921022539600973467e-01,7.190719071907203386e-02
2.318727251074374773e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.149002661018886373e-01,-4.788744401777241255e-01,3.639741740758353217e-01,-4.761476147614760457e-01
2.325011064762923241e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.152060256311846914e-01,-4.789647086823383137e-01,3.637586830511534419e-01,-4.801480148014802829e-01
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.545234377660983371e-01,-4.890770663213276914e-01,3.345536285552291322e-01,-9.997999799979995217e-01
3.927383555342776056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.913598581813897581e-01,-4.957249934366992905e-01,3.043651352553093381e-01,-4.997499749974996242e-01
3.933667369031324523e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.916500900021228804e-01,-4.957658934419698071e-01,3.041158034398467325e-01,-4.957495749574953869e-01
5.089889087724237537e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.436472865922744702e-01,-4.999466388969953101e-01,2.562993523047205624e-01,2.403240324032407393e-01
5.096172901412785450e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.439216016064760240e-01,-4.999511303122066708e-01,2.560295287057304248e-01,2.443244324432440884e-01
5.108740528789882385e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.444699425796577896e-01,-4.999595209041267085e-01,2.554895783244687246e-01,2.523252325232521187e-01
5.115024342478431407e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.447439683221183659e-01,-4.999634200775222581e-01,2.552194517554036701e-01,2.563256325632563559e-01
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.939180441263006260e-01,-4.972576625154471186e-01,2.033396183891462983e-01,9.995999599959990434e-01
7.326926760847483067e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.344368641509853357e-01,-4.891096993112496460e-01,1.546728351602641438e-01,3.355335533553347460e-01
7.333210574536030979e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.346703599337492729e-01,-4.890443850517789404e-01,1.543740251180296119e-01,3.315331533153313970e-01
7.628549817897808394e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.454940141201571224e-01,-4.857572539456325722e-01,1.402632398254752277e-01,1.435143514351429062e-01
7.634833631586356306e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.457210637202887127e-01,-4.856827011114364656e-01,1.399616373911475864e-01,1.395139513951395571e-01
